date,source,content,link
2025-11-16,PTT_Post,[標題] [交換] 義享tomica杯「雄」換「高」或「多」,https://www.ptt.cc/bbs/Kaohsiung/M.1763257820.A.AAA.html
2025-10-26,PTT_Post,[標題] [交換] 多美小汽車x義享聯名紀念杯盲盒,https://www.ptt.cc/bbs/Kaohsiung/M.1761456820.A.6F6.html
2025-10-22,PTT_Post,[標題] [交換]  義享天地來店 “美”字杯（已換1）,https://www.ptt.cc/bbs/Kaohsiung/M.1761103290.A.F44.html
2025-10-22,PTT_Comment,[推] 站內～,https://www.ptt.cc/bbs/Kaohsiung/M.1761103290.A.F44.html
2025-08-03,PTT_Post,[標題] [閒聊] 義享天地假日停車,https://www.ptt.cc/bbs/Kaohsiung/M.1754159440.A.0F3.html
2025-08-03,PTT_Comment,[推] 你沒聽過假日義享停車場，光開出來就要1小時起跳嗎？我想,https://www.ptt.cc/bbs/Kaohsiung/M.1754159440.A.0F3.html
2025-08-03,PTT_Comment,[→] 他們就是因為這樣在控數量吧,https://www.ptt.cc/bbs/Kaohsiung/M.1754159440.A.0F3.html
2025-08-03,PTT_Comment,[推] 我今天也有去，大概六點的時候，後來想到上次的文,https://www.ptt.cc/bbs/Kaohsiung/M.1754159440.A.0F3.html
2025-08-03,PTT_Comment,[→] 章，果斷轉入好市多，義享吃晚餐後去好市多買東西,https://www.ptt.cc/bbs/Kaohsiung/M.1754159440.A.0F3.html
2025-08-03,PTT_Comment,[→] ，滿500不用停車費，舒服！然後人真的超多的。,https://www.ptt.cc/bbs/Kaohsiung/M.1754159440.A.0F3.html
2025-08-03,PTT_Comment,[推] ε(￣□￣)3||,https://www.ptt.cc/bbs/Kaohsiung/M.1754159440.A.0F3.html
2025-08-03,PTT_Comment,[→] 總量管制吧，放車邏輯就不知道了,https://www.ptt.cc/bbs/Kaohsiung/M.1754159440.A.0F3.html
2025-08-03,PTT_Comment,[→] 8點剛好一批出去而已 不要想太多,https://www.ptt.cc/bbs/Kaohsiung/M.1754159440.A.0F3.html
